source,target,relation
m36,e36,개봉
m37,e37,개봉
m38,e38,개봉
m39,e39,개봉
m40,e40,개봉
m41,e41,개봉
m42,e42,개봉
m43,e43,개봉
m44,e44,개봉
m45,e45,개봉
m46,e46,개봉
m47,e47,개봉
m48,e48,개봉
m49,e49,개봉
m50,e50,개봉
m51,e51,개봉
m52,e52,개봉
m53,e53,개봉
m54,e54,개봉
m55,e55,개봉
m56,e56,개봉
m57,e57,개봉
m58,e58,개봉
m59,e59,개봉
m60,e60,개봉
m61,e61,개봉
m62,e62,개봉
m63,e63,개봉
m64,e64,개봉
m65,e65,개봉
m66,e66,개봉
m67,e67,개봉
m68,e68,개봉
m69,e69,개봉
m70,e70,개봉
m71,e71,개봉
m72,e72,개봉
m73,e73,개봉
m74,e74,개봉
m75,e75,개봉
m76,e76,개봉
m77,e77,개봉
m78,e78,개봉
m79,e79,개봉
m80,e80,개봉
m81,e81,개봉
m82,e82,개봉
m83,e83,개봉
m84,e84,개봉
m85,e85,개봉
m86,e86,개봉
m87,e87,개봉
m88,e88,개봉
m89,e89,개봉
m90,e90,개봉
m91,e91,개봉
m92,e92,개봉
m93,e93,개봉
m94,e94,개봉
m95,e95,개봉
m96,e96,개봉
m97,e97,개봉
m98,e98,개봉
m99,e99,개봉
m100,e100,개봉
m101,e101,개봉
m102,e102,개봉
m103,e103,개봉
m104,e104,개봉
m105,e105,개봉
m106,e106,개봉
m107,e107,개봉
m108,e108,개봉
m109,e109,개봉
m110,e110,개봉
m111,e111,개봉
m112,e112,개봉
m113,e113,개봉
m114,e114,개봉
m115,e115,개봉
m116,e116,개봉
m117,e117,개봉
m118,e118,개봉
m119,e119,개봉
m120,e120,개봉
m121,e121,개봉
m122,e122,개봉
m123,e123,개봉
m124,e124,개봉
m125,e125,개봉
m126,e126,개봉
m127,e127,개봉
m128,e128,개봉
m129,e129,개봉
m130,e130,개봉
m131,e131,개봉
m132,e132,개봉
m133,e133,개봉
m134,e134,개봉
m135,e135,개봉
m136,e136,개봉
m137,e137,개봉
m138,e138,개봉
m139,e139,개봉
m140,e140,개봉
m141,e141,개봉
m142,e142,개봉
m143,e143,개봉
m144,e144,개봉
m145,e145,개봉
m146,e146,개봉
m147,e147,개봉
m148,e148,개봉
m149,e149,개봉
m150,e150,개봉
m151,e151,개봉
m152,e152,개봉
m153,e153,개봉
m154,e154,개봉
m155,e155,개봉
m156,e156,개봉
m157,e157,개봉
m158,e158,개봉
m159,e159,개봉
m160,e160,개봉
m161,e161,개봉
m162,e162,개봉
